Bezirk Steglitz-Zehlendorf: Energieverbrauchsübersicht bezirklicher Liegenschaften 2017-2018-2019;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
lfd. Nr.;Liegenschaft;Adresse;PLZ;Art der Wärme-versorgung;Wärme-verbrauch witterungs-bereinigt [kWh];;;Strom-verbrauch [kWh];;;Bemerkungen;;;;;
60;Biesalski-Sonderschule, Quentin-Blake-Grundschule & Staatl. Europa-Schule;Hüttenweg 40;14167;Fernwärme;1.439.290;1.465.208;1.339.527;578.462;541.963;522.227;"versorgt mit Strom: Nr. 103; 104 sowie Kita Flanaganstraße (LEB ""Süd-West"")";;;;;
61;John-F.-Kennedy-Schule;Teltower Damm  87 - 93;14167;Gas;3.743.301;3.717.808;3.646.633;1.227.539;1.226.029;1.177.405;"versorgt mit Strom Nr. 46; 72; Liegenschaft ist ab dem 01.01.2019 von BIM GmbH verwaltet";;;;;
62;HORT Gallwitzallee 116;Gallwitzallee 116;12249;Gas;95.459;110.518;99.164;6.191;5.983;6.234;;;;;;
63;HORT Langkofelweg 18;Langkofelweg, 18;12247;Gas;132.606;137.558;120.722;17.014;19.446;20.728;;;;;;
64;HORT Murtenerstraße 10;Murtenerstr.10a;12205;Gas;112.611;124.557;147.883;15.594;13.976;16.202;;;;;;
65;HORT Treitschkestraße 28-30;Treitschkestr. 28-30;12163;Gas;170.990;151.965;200.882;16.650;11.055;19.761;;;;;;
66;JFH - Schottenburg / Verkehrsgarten;Brittendorfer Weg 16+16b;14167;Fernwärme;250.204;196.886;233.012;27.446;30.745;37.074;;;;;;
67;Kita Chausseestraße  27;Chausseestr. 27 - 28;14109;Gas;205.471;67.891;137.709;;;;Stromversorgung aus Nr. 43;;;;;
68;HORT Claszeile 57;Claszeile 57;14165;Gas;314.491;319.112;311.317;31.620;24.700;19.000;;;;;;
69;HORT Ihnestraße;Ihnestr. 74-76;14195;Fernwärme;96.685;97.404;94.818;25.094;25.948;29.019;;;;;;
70;HORT Jaehnstraße;Jaehnstr. 14;14163;Gas;94.552;80.548;94.674;6.653;9.089;6.947;;;;;;
71;Kita Rathaus Wannsee / JFH  Wannsee;Königstr. 42;14109;Gas;296.037;308.041;286.463;;;;Stromversorgung aus Nr. 43;;;;;
72;Kita Reha-Zentrum;Teltower Damm 95-123;14163;Gas;3.025.445;3.114.547;1.894.610;;;;"Stromversorgung aus Nr. 61; Liegenschaft ist ab dem 01.01.2019 von BIM GmbH verwaltet";;;;;
73;Kita Zentrum am Kleeblatt;Von-der-Trenck-Str. 4;14165;Gas;224.948;243.905;227.366;41.250;40.650;37.250;;;;;;
74;Haus der Jugend am Eichgarten 14;Am Eichgarten 14;12167;Fernwärme;104.138;145.486;131.497;5.691;13.431;17.607;;;;;;
75;"Jugendfreizeitheim ""Haus der Jugend""";Argentinische Allee 28;14163;Gas;175.507;192.638;164.978;23.800;23.437;27.165;;;;;;
76;Spielplatz Bergstraße 51;Bergstr. 51;12169;Gas;26.110;26.718;8.385;699;4.402;4.173;;;;;;
77;Jugendfreizeitheim Flemingstraße 14b;Flemingstr. 14b;12163;Gas;215.530;250.459;212.224;14.006;12.077;15.499;;;;;;
78;Jugendwerkheim Geraer Straße 43;Geraer Str. 43;12209;Gas;43.404;53.519;43.471;4.400;3.844;4.212;;;;;;
79;Jugendfreizeitheim Jungfernstieg 19;Jungfernstieg 19;12207;Gas;154.316;146.789;173.173;15.595;15.807;17.819;;;;;;
80;JAZ - Jugendausbildungszentrum;Lissabonallee 6;14129;Gas;1.950.933;2.384.121;2.120.467;314.026;384.050;395.392;;;;;;
81;Jugendfreizeitheim Memlingstraße 14a;Memlingstr. 14a;12203;Gas;89.476;139.316;103.739;8.260;7.355;9.660;;;;;;
82;KBH Ramsteinweg;Ramsteinweg 40;14165;Gas;82.293;111.721;101.277;14.244;18.017;9.383;;;;;;
83;Jugendfreizeitheim Scheelestr/Osdorferstr.;Scheelestr. 145 / Osdorferstr. 90;12209;Fernwärme;145.943;152.903;163.806;;;;Stromversorgung aus Nr. 93;;;;;
84;Jugendgesundheitsdienst Schwendenerstraße;Schwendenerstr. 39;14195;Gas;53.959;56.527;52.142;4.728;4.823;5.753;;;;;;
85;"Jugendfreizeitheim ""Haus Teltow""";Teltower Damm 228;14167;Gas;125.772;131.015;106.060;25.104;16.294;33.518;;;;;;
86;Kinderhaus Schlachtensee (Kinderheim Lindenhof);Quastheide 1/ Wasgensteig 51;14163;Gas;474.498;507.174;523.668;44.847;40.683;28.384;;;;;;
87;Jugendheim Wichurastraße 59;Wichurastr. 59;12249;Gas;36.950;57.416;44.991;6.439;5.898;7.780;;;;;;
88;Jugendwerkheim Königin-Luise-Straße 94;Königin-Luise-Str. 94;14195;Gas;519.564;515.083;554.748;26.170;23.530;22.581;"versorgt mit Wärme Nr. 123; 124; 125";;;;;
89;"""Haus Lankwitz"" Bethovenstraße 28-38";Beethovenstr. 28-38;12247;Gas;700.858;988.798;816.060;87.200;92.275;45.850;;;;;;
90;Jugendheim Bergstr. 2;Bergstr. 2-4;14109;Gas;543.909;636.520;570.585;50.634;50.007;57.997;;;;;;
91;Stadion Lichterfelde;Ostpreußendamm 3-17;12207;Gas;624.222;640.132;594.608;73.295;81.970;86.250;;;;;;
92;Sportanlage Lessingstraße;Lessingstr. 5-8;12169;Gas;684.662;597.992;503.417;74.400;66.182;100.072;;;;;;
93;Sportanlage Osdorferstraße;Osdorferstr. 53;12207;Fernwärme;315.718;259.290;254.953;303.772;335.776;301.668;"versorgt mit Strom Nr. 83 sowie Kita Reamurstraße aus Nr. dem LEB ""Süd-West""";;;;;
94;Sportanlage Malteserstraße;Malteserstr. 53;12249;Gas;101.410;74.992;80.052;18.253;11.979;17.837;;;;;;
95;Sportanlage Leonorenstr./Edenkobenerweg;Leonorenstr. 37-39;12247;Fernwärme;731.958;858.981;945.375;394.574;370.338;476.144;;;;;;
96;Sportanlage Schildhornstr./Kreuznacherstr.;Schildhornstr Str. 29-45;12163;Gas;110.510;118.168;113.436;40.848;41.541;43.729;;;;;;
97;Rollschuhbahn Mühlenstraße;Mühlenstr. 70;12249;Gas;151.989;121.910;120.457;11.511;8.624;10.964;versorgt mit Wärme Nr. 144;;;;;
98;Sportanlage Gallwitzallee;Geraerstr. 99;12249;Gas;113.245;112.735;114.364;29.542;24.554;29.752;;;;;;
99;Sportanlage Wedellstraße;Wedellstr. 57;12249;Gas;844.927;712.384;751.373;64.820;72.125;77.313;;;;;;
100;Gymnastikhalle Wannsee;Königstr. 42a;14109;Gas;71.045;79.928;70.440;;;;Stromversorgung aus Nr. 43;;;;;
101;Sportplatz Wannsee & Alsenstraße;Chausseestr. 29;14109;Gas;136.828;142.980;126.413;11.706;10.814;11.108;Stromversorgung aus Nr. 43;;;;;
102;Sporthalle Zehlendorf;Onkel-Tom-Str. 60;14169;Gas;318.239;326.525;304.394;;;;Stromversorgung aus Nr. 45;;;;;
103;Cole Sports Center Hüttenweg;Hüttenweg 43;14195;Fernwärme;563.517;522.776;382.583;;;;Stromversorgung aus Nr. 60;;;;;
104;Sporthalle Marshallstraße;Marshallstr. 3;14169;Fernwärme;291.837;241.333;221.131;;;;Stromversorgung aus Nr. 60;;;;;
105;Ernst-Reuter-Sportfeld;Onkel-Tom-Str. 40 / Siebenendenweg;14169;Gas;440.491;490.752;468.269;25.061;27.471;29.019;anteilige Stromversorgung aus Nr. 45;;;;;
106;Sportplatz Sachtlebenstraße;Sachtlebenstr. 36;14165;Gas;185.910;192.828;188.766;14.517;15.163;14.290;;;;;;
107;"Seniorenfreizeitstätte ""Maria Rimkus""";Gallwitzallee 53;12249;Gas;39.717;40.184;40.277;14.821;14.620;14.302;;;;;;
108;Seniorenfreizeitstätte Ostpreußendamm 52;Ostpreußendamm 52;12207;Gas;60.435;61.360;62.761;8.303;8.432;9.284;;;;;;
109;"Seniorenfreizeitstätte Selerweg 18 - ""Club Steglitz""";Selerweg 18;12169;Gas;40.133;43.878;40.251;11.320;11.325;10.534;;;;;;
110;Seniorenfreizeitstätte Bolchener Str. 5;Bolchener Str. 5;14167;Fernwärme;137.517;105.810;91.749;14.971;16.454;15.791;;;;;;
111;"Seniorenfreizeitstätte ""Nord"" - Argentinische Allee 89";Argentinische Allee 87;14167;Gas;110.445;120.445;103.488;25.200;23.600;26.550;;;;;;
