;Bezirk Mitte: Energieverbrauchsübersicht bezirklicher Liegenschaften 2017;;;;;;;
;;;;;;;;
;lfd. Nr.;Liegenschaft;Adresse Straße;Adresse PLZ;Wärmeversorgung;Wärmeverbrauch witterungsbereinigt;Stromverbrauch;Bemerkungen
;;;;;;kWh;kWh;
Freizeiteinrichtung;89;Fil. Schul-Umwelt-Zentrum Mitte (SUZ) - Seestraße;Seestr. 74;13347;Gas;48.342;-;Stromversorgung durch Nr. 163
Freizeiteinrichtung;90;Freier Träger;Seydlitzstr. 12;10557;-;-;2.918;
Freizeiteinrichtung;91;Seniorenfreizeitstätte Spandauer Straße;Spandauer Str. 2;10178;Mietobjekt;-;2.606;
Freizeiteinrichtung;92;Seniorenfreizeitstätte Stralsunder Straße;Stralsunder Str. 6;13355;Gas;44.612;4.680;
Freizeiteinrichtung;93;Musikschule  ;Swinemünder Str. 80;13355;Gas;101.013;19.615;
Freizeiteinrichtung;94;Abenteuerspielplatz Telux;Tegeler Str. 28 a;13353;Gas;13.075;5.417;Stromseitige Mitversorgung von Nr. 78
Freizeiteinrichtung;95;Seniorenfreizeitstätte Torstraße;Torstr. 203-205;10115;Mietobjekt;-;7.223;
Freizeiteinrichtung;96;Brüder-Grimm-Haus;Turmstr. 75;10551;Fernwärme;753.687;306.879;Stromseitige Mitversorgung von Nr. 101
Freizeiteinrichtung;97;Fil. Musikschule Fanny Hensel;Wallstr. 42;10179;Fernwärme;189.786;36.700;Wärmeseitige Mitversorgung von Nr. 112
Freizeiteinrichtung;98;Freier Träger;Weinmeisterstr. 15;10178;Fernwärme;103.695;22.300;
Freizeiteinrichtung;99;Spielplatz Spielhaus Pankeufer;Wilhelm-Kuhr-Str. 49;13359;Gas;16.985;5.014;
Freizeiteinrichtung;100;Jugendclub Ikarus;Wilhelmstr. 51;10117;Fernwärme;-;8.426;Wärmeversorgung durch Nr. 57
Freizeiteinrichtung;101;Berlin-Kolleg;Zwinglistr. 2;10555;Fernwärme;953.601;-;Stromversorgung durch Nr. 96
;Kultureinrichtung;;;;;933.364;515.925;
Kultureinrichtung;102;Hansabibliothek;Altonaer Str. 15;10557;Fernwärme;129.084;19.135;
Kultureinrichtung;103;Philip-Schaeffer-Bibliothek;Brunnenstr. 181;10119;unbekannt, Mietobjekt;-;135.454;
Kultureinrichtung;104;Klosterruine Mitte;Klosterstr. 73 a;10179;elek. Heizstrahler;-;1.750;
Kultureinrichtung;105;Bibliothek Tiergarten-Süd;Lützowstr. 27;10785;Fernwärme;-;18.640;Wärmeversorgung durch Nr. 77
Kultureinrichtung;106;Schiller-Bibliothek;Müllerstr. 149;13353;Fernwärme;110.927;105.578;
Kultureinrichtung;107;Heimatmuseum Wedding;Pankstr. 47;13357;Fernwärme;184.716;12.038;
Kultureinrichtung;108;Bruno-Lösche-Bibliothek ;Perleberger Str. 33;10559;Fernwärme;144.119;46.601;
Kultureinrichtung;109;Institut für Schauspiel;Seestr. 64;13347;unbekannt  ;-;11.177;
Kultureinrichtung;110;Bibliothek am Luisenbad;Badstr. 39;13357;Gas;364.518;165.552;
;SGA;;;;;955.733;208.573;
SGA;111;Revierunterkunft Gartenplatz;Gartenstr. 55 y;13355;Heizöl;9.377;430;
SGA;112;Werkhof Rungestraße;Rungestr. 34;10179;Fernwärme;-;11.885;Wärmeversorgung durch Nr. 97
SGA;113;Pumpwerk Tiergarten;Katharina-Heinroth-Ufer 2, 3;10787;Gas;132.162;48.378;
SGA;114;Revierunterkunft Kleine Rosenthaler Straße;Kleine Rosenthaler Str. 3-7;10119;Gas;19.735;1.779;
SGA;115;Lagerplatz Nordufer;Nordufer 30;13351;-;-;539;keine Wärmeversorgung
SGA;116;Revierunterkunft Pankstraße;Pankstr. 17;13357;Fernwärme;52.111;23.634;
SGA;117;Depot Straßen- und Grünflächenamt;Petersallee;13351;unbekannt  ;-;18.344;
SGA;118;Revierunterkunft Ruheplatzstraße;Ruheplatzstr. 3;13347;Fernwärme;8.156;4.116;
SGA;119;Bärenzwinger;Rungestr. 31;10179;Fernwärme;-;7.564;Wärmeversorgung durch Nebenhaus
SGA;121;Revierunterkunft Scharnhorststraße;Scharnhorststr. 33;10115;Nachtspeicherheizung;-;8.738;
SGA;122;Bürodienstgebäude Straße des 17. Juni;Straße des 17. Juni 31;10785;Heizöl;536.802;57.714;
SGA;123;Revierunterkunft Turmstraße;Turmstr. 85 a;10559;Fernwärme;-;4.518;Wärmeversorgung durch Nr. 155
SGA;124;Depot Schillerpark;Ungarnstr. 57;13349;Heizöl;111.214;11.862;
SGA;125;Revierunterkunft Unionstraße;Unionstr. 12;10551;Fernwärme;86.176;5.288;
SGA;126;Revierunterkunft Weinbergsweg;Weinbergsweg 21;10119;unbekannt  ;-;3.784;
;Sport;;;;;7.110.247;2.200.141;
Sport;127;Sporthalle Melchiorstraße;Adalbertstr. 53;10179;Fernwärme;151.146;5.853;
Sport;128;Stadion Rehberge (im Volkspark);Afrikanische Str. 47;13351;Gas;307.211;34.375;
Sport;129;Sporthalle Albrechtstraße;Albrechtstr. 20;10117;Fernwärme;47.794;11.570;
Sport;130;Sportplatz Auguststraße;Auguststr. 66-67;10117;Gas;94.858;21.551;
Sport;131;Sportplatz Behmstraße;Behmstr. 29-31;13357;Gas;129.339;36.228;
Sport;132;Sporthalle Kastanienbaum-Grundschule;Gipsstr. 23 a;;Fernwärme;127.949;-;Stromversorgung durch Nr. 15
Sport;133;Franz-Mett-Sporthalle;Gormannstr. 13;10119;Gas;438.829;128.130;
Sport;134;Sportplatz Holzmarktstraße;Holzmarktstr. 55;10179;Gas;116.702;14.600;
Sport;135;Sportplatz Grundschule am Brandenburger Tor;In den Ministergärten 2;;Gas;49.040;5.808;
Sport;136;Sportplatz Gustav Böß;Koloniestr. 82;13359;Heizöl;93.350;27.576;
Sport;137;Sporthalle Schützenstraße;Schützenstr. 51;10117;Fernwärme;98.216;55.877;
Sport;138;Werner-Kluge-Sportplatz;Kühnemannstr. 52;13409;Gas;137.977;15.989;
Sport;139;Sportanlage Stade Napoleon;Kurt-Schumacher-Damm 207-245;13405;Heizöl;107.064;16.440;
Sport;140;Poststadion Lehrter Straße;Lehrter Str. 59;10557;Fernwärme;661.758;240.006;Stromseitige Mitversorgung von Nr. 141
