Bezirk Tempelhof-Schˆneberg: Energieverbrauchs¸bersicht bezirklicher Geb‰ude f¸r 2010-2019;;;;;;;;;;;;;;;;
ID;Liegenschaft;Adresse;PLZ;Bauwerk;"Energieart
(W‰rmeverbrauch ist witterungsbereinigt)";Einheit;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
25;Grundschule Am Barbarossaplatz & Albert-Einstein-VHS;Barbarossaplatz 5;10781;Schulgeb‰ude;Strom;kWh;155.323;142.723;151.718;156.772;154.225;158.365;154.432;161.415;152.897;154.564
28;Carl-Zeiss-Schule;Barnetstraﬂe 12-14;12305;Schulgeb‰ude;W‰rme;kWh;680.233;698.327;621.023;668.024;632.456;675.541;639.388;617.967;644.839;630.584
28;Carl-Zeiss-Schule;Barnetstraﬂe 12-14;12305;Schulgeb‰ude;Strom;kWh;277.296;266.895;248.859;279.249;261.685;250.608;260.078;252.607;257.320;274.011
27;Carl-Zeiss-Schule;Barnetstraﬂe 12-14 / Lutherstraﬂe 30;12305;Sporthalle;W‰rme;kWh;427.517;453.108;470.545;458.292;517.897;438.112;419.657;389.034;389.115;377.036
27;Carl-Zeiss-Schule;Barnetstraﬂe 12-14 / Lutherstraﬂe 30;12305;Sporthalle;Strom;kWh;63.847;61.452;57.299;64.297;60.253;57.702;59.882;58.162;59.247;63.090
283;Sportanlage - Bauﬂnerweg;Bauﬂnerweg 8 / Marienfelder Allee;12279;Sporthalle;W‰rme;kWh;0;0;67.349;248.270;267.413;103.190;120.429;290.247;287.667;42.126
283;Sportanlage - Bauﬂnerweg;Bauﬂnerweg 8 / Marienfelder Allee;12279;Sporthalle;Strom;kWh;7.193;1.129;13.274;11.129;11.128;202.577;65.943;149.246;68.623;90.134
304;Brunnen - Lebensalter;Bayreuther Straﬂe 36;10787;Brunnen;Strom;kWh;26;32;167;74;73;15;67;7;13;15
305;Markt - Wittenbergplatz;Bayreuther Straﬂe 37;10787;Markt;Strom;kWh;43.466;46.162;44.640;44.570;50.254;49.095;53.555;48.930;44.815;45.000
29;Gustav-Langenscheidt-Schule;Belziger Straﬂe 43-51;10823;Sporthalle;W‰rme;kWh;100.449;89.354;90.406;90.964;93.113;98.570;100.962;104.260;110.720;100.669
29;Gustav-Langenscheidt-Schule;Belziger Straﬂe 43-51;10823;Sporthalle;Strom;kWh;20.155;19.040;19.102;18.870;18.971;17.665;17.401;17.490;16.848;14.949
30;Gustav-Langenscheidt-Schule;Belziger Straﬂe 43-51;10823;Schulgeb‰ude;W‰rme;kWh;785.378;698.635;706.639;711.026;727.961;770.569;789.061;814.924;865.339;786.879
30;Gustav-Langenscheidt-Schule;Belziger Straﬂe 43-51;10823;Schulgeb‰ude;Strom;kWh;142.721;134.826;135.265;133.626;134.339;125.090;123.222;123.851;119.303;105.856
306;Kinderspielplatz - Belziger Straﬂe;Belziger Straﬂe 8;10823;Gr¸nfl‰che / Beleuchtung;Strom;kWh;1.204;1.215;3.460;3.179;1.414;2.190;2.290;2.191;2.202;2.589
31;Lˆcknitz-Schule;Berchtesgadener Straﬂe 10-11;10779;Schulgeb‰ude;W‰rme;kWh;302.244;324.404;307.891;372.182;319.628;292.697;269.273;278.074;297.942;290.646
31;Lˆcknitz-Schule;Berchtesgadener Straﬂe 10-11;10779;Schulgeb‰ude;Strom;kWh;27.314;55.629;32.487;40.578;43.029;39.646;46.308;55.415;55.560;55.793
32;Lˆcknitz-Schule;Berchtesgadener Straﬂe 10-11;10779;Mensa (Anbau);W‰rme;kWh;56.931;61.105;57.995;70.105;60.205;55.133;50.721;52.378;56.121;54.746
32;Lˆcknitz-Schule;Berchtesgadener Straﬂe 10-11;10779;Mensa (Anbau);Strom;kWh;5.145;10.478;6.119;7.643;8.105;7.468;8.723;10.438;10.465;10.509
33;Lˆcknitz-Schule;Berchtesgadener Straﬂe 10-11;10779;Mobile Klassen;W‰rme;kWh;78.632;67.202;65.257;68.183;54.678;37.224;33.575;34.280;38.143;39.479
33;Lˆcknitz-Schule;Berchtesgadener Straﬂe 10-11;10779;Mobile Klassen;Strom;kWh;3.279;6.679;3.900;4.872;5.166;4.760;5.560;6.653;6.670;6.698
34;Lˆcknitz-Schule;Berchtesgadener Straﬂe 10-11;10779;Sporthalle;W‰rme;kWh;64.630;69.369;65.838;79.586;68.348;62.589;57.580;59.462;63.710;62.150
34;Lˆcknitz-Schule;Berchtesgadener Straﬂe 10-11;10779;Sporthalle;Strom;kWh;5.841;11.896;6.947;8.677;9.201;8.478;9.902;11.850;11.881;11.930
307;Nelly-Sachs-Park - Beleuchtung & Brunnen;Blumenthaler Straﬂe 19;10783;Gr¸nfl‰che / Beleuchtung;Strom;kWh;28.318;17.358;23.861;22.319;26.182;25.830;24.935;24.295;22.724;0
308;Park am Wolffring - Brunnenanlage & Planschbecken;Boelckestraﬂe;12101;Gr¸nfl‰che / Beleuchtung;Strom;kWh;115;113;114;307;189;239;175;174;124;197
35;Seniorenfreizeitst‰tte - Mireille Mathieu;Boelckestraﬂe 102;12101;Seniorenfreizeiteinrichtung;W‰rme;kWh;52.890;57.427;51.006;51.597;52.992;52.305;52.824;56.581;56.222;74.101
36;Tempelherren Schule / Hugo-Gaudig-Schule;Boelckestraﬂe 58-60;12101;Sporthalle (neu);W‰rme;kWh;921.011;878.774;760.070;981.517;884.771;811.393;862.067;840.584;832.926;819.889
36;Tempelherren Schule / Hugo-Gaudig-Schule;Boelckestraﬂe 58-60;12101;Sporthalle (neu);Strom;kWh;11.729;12.320;12.398;12.023;13.496;14.784;15.234;14.161;13.927;14.211
37;Tempelherren Schule / Hugo-Gaudig-Schule;Boelckestraﬂe 58-60;12101;Sporthalle (alt);W‰rme;kWh;1.801;3;1.269;2.651;2.669;2.722;4.433;3.197;3.175;1.145
37;Tempelherren Schule / Hugo-Gaudig-Schule;Boelckestraﬂe 58-60;12101;Sporthalle (alt);Strom;kWh;5.321;5.589;5.625;5.454;6.123;6.707;6.911;6.424;6.318;6.447
38;Tempelherren Schule / Hugo-Gaudig-Schule;Boelckestraﬂe 58-60;12101;Schulgeb‰ude;W‰rme;kWh;47.516;84;33.481;69.941;70.418;71.821;116.978;84.363;83.768;30.202
